Wavelength	Transit Depth
(meters)	(percent)
2.997692e-07	8.405588e-03
3.000686e-07	8.405440e-03
3.003682e-07	8.405294e-03
3.006681e-07	8.405147e-03
3.009683e-07	8.405001e-03
3.012689e-07	8.404855e-03
3.015697e-07	8.404709e-03
3.018708e-07	8.404564e-03
3.021723e-07	8.404419e-03
3.024740e-07	8.404275e-03
3.027760e-07	8.404131e-03
3.030783e-07	8.403987e-03
3.033810e-07	8.403844e-03
3.036839e-07	8.403701e-03
3.039872e-07	8.403558e-03
3.042907e-07	8.403416e-03
3.045945e-07	8.403274e-03
3.048987e-07	8.403132e-03
3.052031e-07	8.402991e-03
3.055079e-07	8.402850e-03
3.058130e-07	8.402709e-03
3.061183e-07	8.402569e-03
3.064240e-07	8.402429e-03
3.067300e-07	8.402289e-03
3.070363e-07	8.402150e-03
3.073428e-07	8.402011e-03
3.076497e-07	8.401872e-03
3.079569e-07	8.401734e-03
3.082644e-07	8.401596e-03
3.085723e-07	8.401459e-03
3.088804e-07	8.401322e-03
3.091888e-07	8.401185e-03
3.094975e-07	8.401048e-03
3.098066e-07	8.400912e-03
3.101159e-07	8.400776e-03
3.104256e-07	8.400641e-03
3.107356e-07	8.400506e-03
3.110459e-07	8.400371e-03
3.113564e-07	8.400237e-03
3.116674e-07	8.400102e-03
3.119786e-07	8.399969e-03
3.122901e-07	8.399835e-03
3.126019e-07	8.399702e-03
3.129141e-07	8.399570e-03
3.132265e-07	8.399437e-03
3.135393e-07	8.399305e-03
3.138524e-07	8.399173e-03
3.141658e-07	8.399042e-03
3.144795e-07	8.398911e-03
3.147935e-07	8.398780e-03
3.151078e-07	8.398650e-03
3.154225e-07	8.398520e-03
3.157374e-07	8.398390e-03
3.160527e-07	8.398261e-03
3.163683e-07	8.398132e-03
3.166842e-07	8.398004e-03
3.170004e-07	8.397875e-03
3.173170e-07	8.397747e-03
3.176338e-07	8.397620e-03
3.179510e-07	8.397492e-03
3.182685e-07	8.397365e-03
3.185863e-07	8.397239e-03
3.189044e-07	8.397113e-03
3.192228e-07	8.396987e-03
3.195416e-07	8.396861e-03
3.198607e-07	8.396736e-03
3.201800e-07	8.396611e-03
3.204998e-07	8.396486e-03
3.208198e-07	8.396362e-03
3.211401e-07	8.396238e-03
3.214608e-07	8.396115e-03
3.217818e-07	8.395991e-03
3.221031e-07	8.395868e-03
3.224247e-07	8.395746e-03
3.227467e-07	8.395624e-03
3.230690e-07	8.395502e-03
3.233916e-07	8.395380e-03
3.237145e-07	8.395259e-03
3.240377e-07	8.395138e-03
3.243613e-07	8.395017e-03
3.246852e-07	8.394897e-03
3.250094e-07	8.394777e-03
3.253339e-07	8.394657e-03
3.256588e-07	8.394538e-03
3.259840e-07	8.394419e-03
3.263095e-07	8.394301e-03
3.266353e-07	8.394182e-03
3.269615e-07	8.394064e-03
3.272879e-07	8.393947e-03
3.276147e-07	8.393829e-03
3.279419e-07	8.393712e-03
3.282693e-07	8.393596e-03
3.285971e-07	8.393479e-03
3.289253e-07	8.393363e-03
3.292537e-07	8.393248e-03
3.295825e-07	8.393132e-03
3.299116e-07	8.393017e-03
3.302410e-07	8.392903e-03
3.305708e-07	8.392788e-03
3.309008e-07	8.392674e-03
3.312313e-07	8.392560e-03
3.315620e-07	8.392447e-03
3.318931e-07	8.392334e-03
3.322245e-07	8.392221e-03
3.325562e-07	8.392109e-03
3.328883e-07	8.391997e-03
3.332207e-07	8.391885e-03
3.335534e-07	8.391773e-03
3.338865e-07	8.391662e-03
3.342199e-07	8.391551e-03
3.345536e-07	8.391441e-03
3.348877e-07	8.391330e-03
3.352221e-07	8.391220e-03
3.355568e-07	8.391111e-03
3.358919e-07	8.391002e-03
3.362273e-07	8.390893e-03
3.365630e-07	8.390784e-03
3.368991e-07	8.390676e-03
3.372355e-07	8.390568e-03
3.375722e-07	8.390460e-03
3.379093e-07	8.390352e-03
3.382467e-07	8.390245e-03
3.385845e-07	8.390139e-03
3.389226e-07	8.390032e-03
3.392610e-07	8.389926e-03
3.395998e-07	8.389820e-03
3.399389e-07	8.389715e-03
3.402783e-07	8.389609e-03
3.406181e-07	8.389504e-03
3.409582e-07	8.389400e-03
3.412987e-07	8.389296e-03
3.416395e-07	8.389192e-03
3.419806e-07	8.389088e-03
3.423221e-07	8.388984e-03
3.426639e-07	8.388881e-03
3.430061e-07	8.388779e-03
3.433486e-07	8.388676e-03
3.436914e-07	8.388574e-03
3.440346e-07	8.388472e-03
3.443781e-07	8.388371e-03
3.447220e-07	8.388269e-03
3.450662e-07	8.388168e-03
3.454108e-07	8.388068e-03
3.457557e-07	8.387967e-03
3.461010e-07	8.387867e-03
3.464466e-07	8.387768e-03
3.467925e-07	8.387668e-03
3.471388e-07	8.387569e-03
3.474854e-07	8.387470e-03
3.478324e-07	8.387372e-03
3.481797e-07	8.387273e-03
3.485274e-07	8.387175e-03
3.488754e-07	8.387078e-03
3.492238e-07	8.386980e-03
3.495725e-07	8.386883e-03
3.499215e-07	8.386786e-03
3.502709e-07	8.386690e-03
3.506207e-07	8.386594e-03
3.509708e-07	8.386498e-03
3.513213e-07	8.386402e-03
3.516721e-07	8.386307e-03
3.520232e-07	8.386212e-03
3.523747e-07	8.386117e-03
3.527266e-07	8.386023e-03
3.530788e-07	8.385929e-03
3.534314e-07	8.385835e-03
3.537843e-07	8.385741e-03
3.541376e-07	8.385648e-03
3.544912e-07	8.385555e-03
3.548451e-07	8.385462e-03
3.551995e-07	8.385370e-03
3.555542e-07	8.385277e-03
3.559092e-07	8.385186e-03
3.562646e-07	8.385094e-03
3.566203e-07	8.385003e-03
3.569764e-07	8.384912e-03
3.573329e-07	8.384821e-03
3.576897e-07	8.384730e-03
3.580468e-07	8.384640e-03
3.584044e-07	8.384550e-03
3.587622e-07	8.384461e-03
3.591205e-07	8.384371e-03
3.594791e-07	8.384282e-03
3.598380e-07	8.384194e-03
